Date : 2022-12-05 17:44:02
Directory : /Users/velen/Desktop/work/sc/frontend/sc-ui
Total : 221 files,  28908 codes, 991 comments, 4545 blanks, all 34444 lines

Languages
+------------------------+------------+------------+------------+------------+------------+
| language               | files      | code       | comment    | blank      | total      |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/password/index.ts                        | TypeScript             |          0 |          0 |          1 |          1 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/password/index.zh-CN.md                  | Markdown               |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/components/ScRadioGroup.vue        | Vue                    |         32 |          0 |          4 |         36 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/components/ScRadioTooltipGroup.vue | Vue                    |         83 |          0 |         11 |         94 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/components/types.ts                | TypeScript             |          9 |          0 |          1 |         10 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/demo/basic.vue                     | Vue                    |         19 |          0 |          3 |         22 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/demo/styleMode.vue                 | Vue                    |         22 |          0 |          4 |         26 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/demo/tooltip.vue                   | Vue                    |         40 |          0 |          5 |         45 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/index.en-US.md                     | Markdown               |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/index.ts                           | TypeScript             |          8 |          0 |          4 |         12 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/index.zh-CN.md                     | Markdown               |         27 |          0 |         10 |         37 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/component/ScStep.vue               | Vue                    |        222 |          6 |         24 |        252 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/component/ScSteps.vue              | Vue                    |         75 |          0 |          9 |         84 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/component/type.ts                  | TypeScript             |         22 |         36 |          5 |         63 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/demo/basic.vue                     | Vue                    |         21 |          0 |          2 |         23 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/demo/center.vue                    | Vue                    |         12 |          0 |          1 |         13 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/demo/icon.vue                      | Vue                    |         22 |          0 |          1 |         23 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/demo/simple.vue                    | Vue                    |         12 |          0 |          1 |         13 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/demo/status.vue                    | Vue                    |         12 |          0 |          1 |         13 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/demo/vertical.vue                  | Vue                    |         12 |          0 |          1 |         13 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/index.en-US.md                     | Markdown               |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/index.ts                           | TypeScript             |         10 |          0 |          7 |         17 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/index.zh-CN.md                     | Markdown               |         47 |          0 |         20 |         67 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/CheckoutBtn.vue          | Vue                    |         59 |          0 |          8 |         67 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/ColumnDialog.vue         | Vue                    |         75 |          0 |          6 |         81 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/Empty.vue                | Vue                    |         15 |          0 |          3 |         18 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/FilterDropDown.vue       | Vue                    |        121 |          0 |          4 |        125 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/FilterTags.vue           | Vue                    |         53 |          0 |          7 |         60 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/ScTable.vue              | Vue                    |        595 |          1 |         52 |        648 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/TableAction.vue          | Vue                    |        211 |          0 |         18 |        229 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/TableFilter.vue          | Vue                    |        209 |          0 |         21 |        230 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/Td/Address.vue           | Vue                    |         43 |          1 |          6 |         50 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/Td/Copy.vue              | Vue                    |         41 |          0 |          4 |         45 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/Td/Ellipsis.vue          | Vue                    |         46 |          0 |          4 |         50 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/Td/Handle.vue            | Vue                    |         54 |          0 |          5 |         59 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/Td/Status.vue            | Vue                    |         18 |          0 |          3 |         21 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/component/Td/index.ts              | TypeScript             |          5 |          7 |          1 |         13 |
