"filename", "language", "TypeScript", "Vue", "Markdown", "Less", "JSON with Comments", "JSON", "JavaScript", "ReactNativeToolsOutput", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/loading/index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 18
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/components/ScModal.vue", "Vue", 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 207
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/components/type.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 79
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/basic.vue", "Vue", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/draggable.vue", "Vue", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/notClose.vue", "Vue", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/selfFooter.vue", "Vue", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/selftHeader.vue", "Vue", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/tooltip.vue", "Vue", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/type.vue", "Vue", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
